epoch,train_loss,train_acc,val_loss,val_acc
1,27.67017463074138,0.0,14.901667903618177,0.0
2,14.11959145807546,0.0,13.5816739065321,0.0
3,11.544790889689548,0.0,9.64367393163067,0.0
4,6.394588864284943,0.00982651947106636,4.135796896157471,0.07051826677994902
5,2.6025540339025524,0.43552104816207693,1.7493250675898238,0.7264231096006797
6,1.3002407169307333,0.8041975009098629,1.2079759336875067,0.8666100254885302
7,0.7919738301660458,0.9152007764163532,0.9857732340149081,0.8887000849617672
8,0.571938782890604,0.9386145820696349,0.8112499979257382,0.9048428207306712
9,0.423578830218266,0.9568118403493874,0.8169364175658765,0.8997451146983857
10,0.3287819709995339,0.9667596748756521,0.7727458256224808,0.8997451146983857
11,0.26690737412679577,0.9713696469731894,0.6971392424914831,0.9116397621070518
12,0.2220823334849287,0.9759796190707267,0.7491588359579963,0.9107901444350043
13,0.18369076880497015,0.9786485502850903,0.6213171887215458,0.9184367034834324
14,0.14821172098967111,0.982651947106636,0.716115631891087,0.9090909090909091
15,0.16723228618095876,0.9813174814994541,0.6710513155644692,0.923534409515718
16,0.11470363641355015,0.9860487686521897,0.6374585784484292,0.9243840271877655
17,0.09449967866338428,0.9898095353633386,0.6795250690884781,0.9226847918436704
18,0.0940166287314873,0.9896882203081402,0.6733979205509921,0.9269328802039083
19,0.094372390496793,0.9904161106393303,0.7031305953417173,0.9167374681393373
20,0.09970580165599946,0.9901734805289336,0.7375073582820195,0.9175870858113849
21,0.09223361861629133,0.9916292611913139,0.7378761105954698,0.9082412914188616
22,0.10486573024989476,0.990294795584132,0.6972519500638432,0.9218351741716228
23,0.06850205534662594,0.9934489870192891,0.6933183666499064,0.9252336448598131
24,0.052978602038357685,0.9945408225160742,0.6323988877724265,0.9277824978759558
25,0.06977031202508917,0.9947834526264709,0.7646318692318342,0.9184367034834324
26,0.06341486464068248,0.995147397792066,0.7148993463590172,0.9311809685641461
27,0.03248434528992272,0.9964818633992478,0.6564782356927227,0.9286321155480034
