epoch,train_loss,train_acc,val_loss,val_acc
1,35.04283456522727,0.0,18.135041475903716,0.0
2,15.734828906546227,0.0,14.45111055463274,0.0
3,13.966028335000434,0.0,13.539131313638356,0.0
4,12.475596283853838,0.0,11.728675317237615,0.0
5,10.217821000487788,0.0,8.821175833728827,0.0
6,6.841640710782475,0.00020222446916076846,5.564235094146599,0.0076465590484282074
7,3.8776354350985844,0.1512639029322548,3.1762326612448226,0.3143585386576041
8,2.287233052191045,0.517896865520728,2.1101362800436094,0.7119796091758709
9,1.3987387110417966,0.78159757330637,1.4824650390936138,0.816482582837723
10,0.9223212233447932,0.8875631951466127,1.2416462699741049,0.8623619371282922
11,0.6444159635036611,0.9328614762386249,1.1285527536397073,0.8700084961767205
12,0.4843102367389552,0.9506572295247725,0.9977580842672006,0.8954970263381479
13,0.3867182319398114,0.9680485338725986,1.056081990620395,0.8912489379779099
14,0.3320635962896087,0.9720930232558139,0.9317862446670727,0.9065420560747663
15,0.2710452016130376,0.9753286147623863,0.9522459764245615,0.903143585386576
16,0.22491461644881416,0.9787664307381193,0.9245262891433962,0.9150382327952421
17,0.17769343368445417,0.9844287158746208,0.9524033950766772,0.9099405267629567
18,0.15268923484158106,0.9836198179979777,0.8835657179710109,0.9175870858113849
19,0.12906672057777613,0.986046511627907,0.9048023612801058,0.9184367034834324
20,0.11303725158240123,0.9870576339737108,0.8989667997789667,0.9099405267629567
21,0.09670056007026541,0.9888776541961577,0.9372353047360378,0.9116397621070518
22,0.20668728815653448,0.9767441860465116,1.0870985000338105,0.903143585386576
23,0.14431379576664724,0.9848331648129424,0.8483543379790923,0.9141886151231946
24,0.12166148876155472,0.9862487360970678,0.8621267774090893,0.9167374681393373
25,0.07581128102583157,0.9908998988877654,0.8406461514754121,0.9243840271877655
26,0.06555360917254333,0.9929221435793731,0.8739015130340395,0.91928632115548
27,0.05609146741089854,0.993933265925177,0.8203357203896003,0.9209855564995751
28,0.04860095950060112,0.9953488372093023,0.8351722448279317,0.923534409515718
29,0.04090941605601682,0.9971688574317492,0.8115717823867993,0.9286321155480034
30,0.03500515166500581,0.9975733063700708,0.8633389015165344,0.9218351741716228
31,0.03124176752880683,0.9971688574317492,0.8320331711230282,0.9260832625318607
32,0.02700311505999435,0.9979777553083923,0.8615212971210074,0.923534409515718
33,0.025711086094078087,0.9975733063700708,0.9352249738617073,0.9218351741716228
34,0.02808071516823359,0.9979777553083923,1.0667993323521383,0.9090909090909091
35,0.36348349061484764,0.9429726996966633,1.031848781070369,0.9039932030586236
36,0.15471375856409178,0.9840242669362993,0.9273106357052656,0.9141886151231946
37,0.09785635705784912,0.9911021233569262,0.8233601775529937,0.9209855564995751
38,0.03224947976571846,0.9971688574317492,0.7953875941954737,0.9209855564995751
39,0.022968680790509687,0.9973710819009101,0.8441911254176268,0.9277824978759558
40,0.01915244428465412,0.9981799797775531,0.7957949350724913,0.9269328802039083
41,0.01656979417053585,0.9985844287158746,0.8297495035772721,0.9269328802039083
42,0.0152377599351206,0.9987866531850353,0.8397103174318169,0.9286321155480034
43,0.02939383341762246,0.9985844287158746,0.8648801566993369,0.9209855564995751
44,0.021473103293092474,0.9989888776541962,0.8803363741710213,0.923534409515718
45,0.02977051059173983,0.9987866531850353,1.0036428989549764,0.9124893797790994
46,0.04633631783982982,0.9977755308392315,0.9677438193088684,0.9175870858113849
47,0.05954807483270026,0.9979777553083923,1.0436182564967957,0.9116397621070518
48,0.058208862129369085,0.9967644084934277,0.9359458722395723,0.9226847918436704
49,0.021714477543883906,0.9993933265925177,0.9781026686260836,0.91928632115548
50,0.01966474017371302,0.9997977755308393,0.9438427120523121,0.9277824978759558
51,0.01340759583985239,1.0,0.9413727182600593,0.9277824978759558
52,0.00785840106685434,1.0,0.9420289231643093,0.929481733220051
53,0.005919047908365907,1.0,0.9511675279628653,0.9286321155480034
54,0.0052122696254805435,1.0,0.9491019220603353,0.929481733220051
55,0.004736816968968471,1.0,0.9569217168180844,0.9277824978759558
56,0.004275287607170573,1.0,0.9640823962228624,0.929481733220051
57,0.0038969006965688313,1.0,0.9890527717117141,0.9277824978759558
58,0.003564396050840586,1.0,0.9868415283164232,0.9277824978759558
59,0.0032890570868857587,1.0,0.997449934026804,0.9286321155480034
60,0.0030650260806445286,1.0,0.9922001991822949,0.9277824978759558
61,0.0028092139218797336,1.0,0.9953364313104544,0.9286321155480034
62,0.0025496014916499055,1.0,1.007191649917434,0.929481733220051
63,0.0023433092280966206,1.0,1.0137405371200057,0.9286321155480034
64,0.0021591530899970185,1.0,1.0195571669300634,0.9286321155480034
65,0.002012894043455953,1.0,1.0239643390237425,0.929481733220051
66,0.0018575832266567692,1.0,1.0335655463582496,0.9286321155480034
67,0.001713513324170913,1.0,1.0246259718500363,0.9303313508920985
68,0.0015875683425048968,1.0,1.0383736854300423,0.9286321155480034
69,0.0014721807621652966,1.0,1.0418392033929427,0.9303313508920985
70,0.001357775128421094,1.0,1.0431303390528859,0.9286321155480034
71,0.0012459765434174735,1.0,1.059769380062236,0.929481733220051
72,0.0011559009077394696,1.0,1.0642009425588654,0.9303313508920985
73,0.0010733386467769365,1.0,1.0645591149212652,0.929481733220051
74,0.000987929431768652,1.0,1.0643575436601014,0.929481733220051
75,0.0009142191541975381,1.0,1.0904828511564633,0.929481733220051
